,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
130,Santa Cruz,75,MA,1617749808,82,30.4202,-9.5982,62.6,4.61
131,Arraial do Cabo,75,BR,1617749809,83,-22.9661,-42.0278,75.2,4.61
132,Luanda,75,AO,1617749809,78,-8.8368,13.2343,78.8,18.41
133,Tasiilaq,75,GL,1617749809,86,65.6145,-37.6368,23.0,19.57
134,Kota,0,IN,1617749810,16,25.1833,75.8333,82.13,9.6
135,Nome,1,US,1617749719,45,64.5011,-165.4064,15.8,7.2
136,Kavieng,100,PG,1617749810,80,-2.5744,150.7967,80.2,7.09
137,West Odessa,93,US,1617749811,5,31.8424,-102.4988,91.4,26.46
138,Vardø,75,NO,1617749811,69,70.3705,31.1107,33.8,25.32
139,West Bay,40,KY,1617749811,69,19.3667,-81.4167,80.6,14.97
140,Esperance,90,AU,1617749812,100,-33.8667,121.9,64.4,5.75
141,Bengkulu,76,ID,1617749812,86,-3.8004,102.2655,73.69,4.25
142,Miraflores,90,MX,1617749812,26,19.2167,-98.8083,69.8,16.11
143,Shimoda,64,JP,1617749813,69,34.6667,138.95,55.0,3.0
144,Igarka,100,RU,1617749813,99,67.4667,86.5833,32.9,5.53
145,Yanam,45,IN,1617749813,91,16.7333,82.2167,72.55,1.52
146,Humaitá,96,BR,1617749814,93,-7.5061,-63.0208,76.08,1.12
147,Noumea,90,NC,1617749648,65,-22.2763,166.4572,81.0,5.75
148,Isla Mujeres,75,MX,1617749814,57,21.2311,-86.731,82.4,20.71
149,Aasiaat,64,GL,1617749815,79,68.7098,-52.8699,12.0,9.51
150,Leshukonskoye,100,RU,1617749815,87,64.8989,45.7622,37.74,12.84
151,Pevek,100,RU,1617749815,97,69.7008,170.3133,-13.95,6.26
152,Gusau,0,NG,1617749816,12,12.1628,6.6614,86.72,6.78
153,Kodinsk,72,RU,1617749816,98,58.6881,99.1844,32.86,4.03
154,Tumpat,20,MY,1617749816,94,6.1978,102.171,77.0,3.44
155,Manicoré,96,BR,1617749817,96,-5.8092,-61.3003,75.51,1.79
156,Beira,2,MZ,1617749817,62,-19.8436,34.8389,74.73,8.08
157,São Desidério,85,BR,1617749817,41,-12.3633,-44.9733,82.8,2.8
158,Synya,100,RU,1617749818,91,65.3718,58.0387,34.16,8.66
159,Sīrjān,0,IR,1617749818,10,29.452,55.6814,57.25,3.85
160,Nyurba,100,RU,1617749818,94,63.2842,118.3319,14.36,7.7
161,Kaitangata,100,NZ,1617749819,68,-46.2817,169.8464,57.33,4.59
162,Norman Wells,75,CA,1617749819,47,65.282,-126.8329,8.6,4.61
163,Suicheng,100,CN,1617749720,73,33.8963,117.9331,52.36,4.97
164,Corvallis,1,US,1617749591,48,44.5646,-123.262,63.0,4.61
165,Komsomolets,100,KZ,1617749820,98,53.7453,62.0708,33.28,7.92
166,Carnarvon,70,AU,1617749820,78,-24.8667,113.6333,75.2,11.5
167,Serravalle Pistoiese,98,IT,1617749820,63,43.9061,10.8327,42.01,8.46
168,Balkhash,28,KZ,1617749821,76,46.844,74.9804,41.43,7.81
169,Dudinka,79,RU,1617749821,94,69.4058,86.1778,9.45,11.41
170,Caravelas,2,BR,1617749822,69,-17.7125,-39.2481,74.88,4.81
171,San Patricio,40,US,1617749822,65,28.017,-97.5169,79.0,32.21
172,Tungor,100,RU,1617749822,94,53.3808,142.9564,29.03,15.21
173,Nísia Floresta,0,BR,1617749587,74,-6.0911,-35.2086,80.6,12.66
174,Fortuna,1,US,1617749823,71,40.5982,-124.1573,57.99,17.27
175,Ambovombe,55,MG,1617749823,80,-25.1667,46.0833,71.89,11.5
176,Dali,24,CN,1617749824,92,25.7,100.1833,47.5,2.57
177,Ilulissat,90,GL,1617749824,79,69.2167,-51.1,17.6,8.05
178,Kalmar,48,SE,1617749824,75,56.6616,16.3616,37.0,6.91
179,Kaputa,99,ZM,1617749825,89,-8.4689,29.6619,69.13,2.59
180,Teya,100,RU,1617749825,94,60.3778,92.6267,31.6,7.09
181,Kinkala,20,CG,1617749825,83,-4.3614,14.7644,80.6,3.44
182,Padang,20,ID,1617749826,94,-0.9492,100.3543,75.2,2.3
183,Saint-Philippe,0,RE,1617749826,69,-21.3585,55.7679,77.0,4.61
184,Muros,1,ES,1617749827,65,42.7762,-9.0603,52.0,20.74
185,Alofi,40,NU,1617749827,74,-19.0595,-169.9187,84.2,6.91
186,Payo,92,ID,1617749827,85,-3.7508,103.6372,70.02,1.92
187,Valparaíso,0,CL,1617749528,52,-33.0393,-71.6273,66.2,8.05
188,Fayetteville,20,US,1617749599,18,35.0527,-78.8784,82.4,8.05
189,Monrovia,75,LR,1617749828,94,6.3005,-10.7969,78.8,2.1
190,Cabo San Lucas,1,MX,1617749715,50,22.8909,-109.9124,81.0,4.61
191,Najrān,7,SA,1617749828,22,17.4924,44.1277,66.2,3.33
192,Pinega,100,RU,1617749829,92,64.7001,43.3936,32.22,7.25
193,Dikson,92,RU,1617749829,100,73.5069,80.5464,-7.33,6.62
194,Bredasdorp,43,ZA,1617749786,94,-34.5322,20.0403,59.0,2.64
195,Graham,1,US,1617749829,38,47.0529,-122.2943,62.01,3.47
196,Flinders,48,AU,1617749830,95,-34.5833,150.8552,72.0,1.01
197,Aklavik,90,CA,1617749595,55,68.2191,-135.0107,3.2,2.3
198,Longyearbyen,75,SJ,1617749697,67,78.2186,15.6401,12.2,21.85
199,Dondo,1,MZ,1617749830,72,-19.6094,34.7431,68.72,3.31
200,Laguna,1,US,1617749831,38,38.421,-121.4238,78.01,3.44
201,Agüimes,40,ES,1617749831,72,27.9054,-15.4461,66.99,4.61
202,Portland,1,US,1617749831,33,45.5234,-122.6762,64.99,6.91
203,Nanortalik,100,GL,1617749832,98,60.1432,-45.2371,34.52,12.33
204,Grindavik,0,IS,1617749832,63,63.8424,-22.4338,26.6,1.14
205,Aykhal,100,RU,1617749833,95,66.0,111.5,23.58,6.44
206,Bud,75,US,1617749833,41,39.447,-86.1758,77.0,8.05
207,Saskylakh,100,RU,1617749833,95,71.9167,114.0833,8.69,6.82
208,Brae,90,GB,1617749834,80,60.3964,-1.353,33.8,21.85
209,Kutiyāna,0,IN,1617749834,76,21.6233,69.9817,76.35,5.99
210,Nemuro,100,JP,1617749834,74,43.3236,145.575,34.02,8.21
211,Qeshm,0,IR,1617749699,88,26.9581,56.2719,71.6,0.67
212,Mersing,99,MY,1617749553,94,2.4312,103.8405,78.8,3.44
213,Kargasok,100,RU,1617749835,85,59.0556,80.8572,34.43,14.61
214,Koslan,81,RU,1617749835,82,63.4564,48.8989,36.52,11.41
215,Itoman,20,JP,1617749836,60,26.1247,127.6694,68.0,20.71
216,Khandyga,83,RU,1617749836,95,62.6667,135.6,-7.83,1.48
217,São Filipe,0,CV,1617749836,65,14.8961,-24.4956,75.22,9.17
218,Rāyagada,6,IN,1617749837,77,19.1667,83.4167,74.21,2.3
219,Whitecourt,90,CA,1617749837,43,54.1502,-115.6855,48.2,3.44
220,Kindu,91,CD,1617749837,98,-2.95,25.95,69.17,1.14
221,Santa Cruz de la Sierra,75,BO,1617749547,69,-17.8,-63.1667,86.0,3.44
222,Cedar City,1,US,1617749599,10,37.6775,-113.0619,57.99,10.36
223,San Andrés,40,CO,1617749838,62,12.5847,-81.7006,86.0,11.5
224,Marsh Harbour,11,BS,1617749838,50,26.5412,-77.0636,69.31,7.92
225,Boyabat,100,TR,1617749839,50,41.4689,34.7667,60.4,3.33
226,Saldanha,3,ZA,1617749839,72,-33.0117,17.9442,60.8,4.61
227,Collie,92,AU,1617749840,90,-33.3667,116.15,57.99,1.01
228,Tezu,9,IN,1617749840,32,27.9167,96.1667,69.53,4.18
229,Châlette-sur-Loing,56,FR,1617749840,75,48.0134,2.7359,36.0,9.84
230,Sibu,40,MY,1617749841,94,2.3,111.8167,77.0,1.43
231,Boa Vista,90,BR,1617749716,88,2.8197,-60.6733,77.0,2.3
232,Taksimo,87,RU,1617749841,88,56.3444,114.8794,16.65,1.43
233,Assiniboia,1,CA,1617749691,20,49.6334,-105.9845,60.8,11.5
234,Muisne,75,EC,1617749841,83,0.6,-80.0333,82.4,2.3
235,Vila Velha,20,BR,1617749842,78,-20.3297,-40.2925,77.0,5.75
236,Gairo,0,IT,1617749842,26,39.8497,9.5047,53.6,18.41
237,Harindānga,20,IN,1617749842,89,22.0383,88.3214,78.8,8.05
238,‘Ewa Beach,20,US,1617749843,44,21.3156,-158.0072,78.8,12.66
239,Mossamedes,76,AO,1617749843,78,-15.1961,12.1522,78.39,4.05
240,Lagoa,99,PT,1617749843,82,39.05,-27.9833,60.06,6.08
241,San Cristobal,40,VE,1617749703,62,7.7669,-72.225,86.0,9.22
242,Nikolskoye,0,RU,1617749844,80,59.7035,30.7861,34.0,6.71
243,Port Pirie,0,AU,1617749844,94,-33.1833,138.0167,57.2,4.61
244,Asău,96,RO,1617749845,60,46.4333,26.4,37.0,0.63
245,Itapissuma,40,BR,1617749845,73,-7.7764,-34.8922,78.8,11.5
246,Kasongo,89,CD,1617749845,96,-4.45,26.6667,69.08,1.39
247,The Valley,20,AI,1617749573,73,18.217,-63.0578,80.6,6.91
248,Meulaboh,99,ID,1617749846,85,4.1363,96.1285,76.8,2.62
249,Plettenberg Bay,91,ZA,1617749575,73,-34.0527,23.3716,63.39,3.15
250,Lambaréné,100,GA,1617749846,94,-0.7001,10.2406,76.35,1.1
251,Lujiang,100,CN,1617749847,82,31.2581,117.2817,57.99,4.47
252,Isangel,20,VU,1617749847,70,-19.55,169.2667,84.2,13.8
253,Castro,49,BR,1617749847,94,-24.7911,-50.0119,59.2,4.65
254,Ratne,58,UA,1617749848,83,51.6683,24.5303,29.73,5.86
255,Tateyama,75,JP,1617749848,66,34.9833,139.8667,53.01,9.22
256,Petropavlovsk-Kamchatskiy,10,RU,1617749848,64,53.0452,158.6483,28.4,8.95
257,Kiryat Gat,85,IL,1617749835,48,31.61,34.7642,69.01,2.17
258,Abu Dhabi,0,AE,1617749796,83,24.4667,54.3667,73.4,4.61
259,Ancud,40,CL,1617749849,94,-41.8697,-73.8203,55.99,12.66
260,Aksu,99,CN,1617749849,43,41.1231,80.2644,50.25,6.38
261,Bayan,0,CN,1617749849,28,46.0833,127.4,30.4,13.31
262,Mae Sai,40,TH,1617749850,100,20.4335,99.8762,64.4,3.44
263,Buin,0,CL,1617749590,46,-33.7333,-70.75,75.2,5.75
264,Tiksi,42,RU,1617749850,96,71.6872,128.8694,-7.46,5.32
265,Manbij,0,SY,1617749850,71,36.5281,37.9549,53.6,4.61
266,Jilib,10,SO,1617749851,78,0.4883,42.7854,80.04,5.93
267,Polyarny,0,RU,1617749851,69,69.1989,33.4478,32.0,11.18
268,Vila Franca do Campo,20,PT,1617749851,94,37.7167,-25.4333,59.0,3.44
269,Rudnogorsk,98,RU,1617749852,97,57.2639,103.7519,29.43,4.21
270,Yeniseysk,100,RU,1617749852,88,58.4497,92.1703,34.18,7.27
271,Podgornoye,0,RU,1617749852,61,51.735,39.1496,44.6,6.71
272,Dingle,87,PH,1617749853,83,10.9995,122.6711,77.09,8.39
273,Mitú,77,CO,1617749853,96,1.1983,-70.1733,73.69,0.76
274,Glenluce,8,GB,1617749853,71,54.8798,-4.8084,37.99,4.0
275,Sidrolândia,75,BR,1617749854,57,-20.9319,-54.9614,80.6,6.91
276,Hasaki,20,JP,1617749854,76,35.7333,140.8333,52.0,6.91
277,Coyhaique,75,CL,1617749854,67,-45.5752,-72.0662,57.2,4.61
278,Sinop Province,100,TR,1617749855,41,41.7711,34.8709,61.47,19.42
279,Mabay,91,PH,1617749855,79,6.0577,124.4666,79.25,2.24
280,Bairiki Village,90,KI,1617749855,94,1.3292,172.9752,75.2,18.41
281,Huarmey,97,PE,1617749856,78,-10.0681,-78.1522,73.08,11.39
282,Khem Karan,40,IN,1617749856,82,31.1428,74.5667,59.0,11.5
283,Price,90,US,1617749857,31,39.5994,-110.8107,48.2,17.27
284,La Maddalena,90,IT,1617749857,70,41.2142,9.4083,53.6,3.44
285,Ipswich,0,GB,1617749632,74,52.0592,1.1555,33.01,9.22
286,Zhangye,22,CN,1617749857,49,38.9342,100.4517,44.29,3.6
287,Bajil,21,YE,1617749858,65,15.0584,43.2851,79.9,2.71
288,Meadow Lake,20,US,1617749858,5,34.8014,-106.5436,75.99,29.93
289,Yangi Marg`ilon,95,UZ,1617749584,81,40.4272,71.7189,48.2,6.91
290,La Palma,75,US,1617749858,64,33.8464,-118.0467,73.0,5.75
291,Gachsaran,0,IR,1617749859,36,30.3586,50.7981,59.0,2.3
292,Teruel,0,ES,1617749859,66,40.6667,-0.6667,51.8,3.44
293,Oleśnica,0,PL,1617749859,74,51.2134,17.3899,34.0,9.22
294,Sitka,90,US,1617749860,87,57.0531,-135.33,35.6,8.05
295,Leningradskiy,56,RU,1617749802,88,69.3833,178.4167,-4.25,8.93
296,Tuatapere,86,NZ,1617749860,82,-46.1333,167.6833,57.99,8.99
297,Qaqortoq,75,GL,1617749860,87,60.7167,-46.0333,35.6,1.14
298,Manokwari,97,ID,1617749861,78,-0.8667,134.0833,80.02,1.68
299,Seymchan,100,RU,1617749861,83,62.8833,152.4333,7.9,2.26
300,Santa Isabel Rio Negro,99,BR,1617749861,99,-0.4139,-65.0192,72.63,2.8
301,Leh,100,IN,1617749862,67,34.1667,77.5833,34.16,6.38
302,Saint-Augustin,100,CA,1617749862,97,51.226,-58.6502,39.15,15.7
303,Bilma,29,NE,1617749862,5,18.6853,12.9164,81.37,5.26
304,Tete,40,MZ,1617749863,57,-16.1564,33.5867,77.0,11.5
305,Rocha,23,UY,1617749863,95,-34.4833,-54.3333,64.51,6.44
306,Eston,20,CA,1617749863,25,51.1501,-108.7514,62.6,6.91
307,Aitape,100,PG,1617749864,88,-3.1374,142.3475,77.85,1.5
308,Karratha,5,AU,1617749864,53,-20.7377,116.8463,80.42,7.4
309,Bubaque,0,GW,1617749864,81,11.2833,-15.8333,77.0,16.82
310,Alpena,90,US,1617749865,55,45.0617,-83.4327,60.8,8.05
311,Verāval,0,IN,1617749865,76,20.9,70.3667,77.49,11.99
312,Kendari,84,ID,1617749865,90,-3.945,122.4989,77.41,2.21
313,Hearst,100,CA,1617749866,71,49.6835,-83.6665,51.8,2.3
314,Necochea,6,AR,1617749866,76,-38.5473,-58.7368,71.01,4.0
315,Qarchī Gak,40,AF,1617749866,58,37.04,66.7889,53.6,4.61
316,Dalnegorsk,63,RU,1617749867,46,44.5604,135.5701,38.05,12.35
317,Ilebo,87,CD,1617749867,98,-4.3167,20.5833,70.36,1.57
318,Malartic,75,CA,1617749689,15,48.1335,-78.1328,55.4,4.61
319,Khātegaon,0,IN,1617749867,19,22.6,76.9167,84.54,6.2
320,Broken Hill,0,AU,1617749868,41,-31.95,141.4333,57.2,5.75
321,Swinford,74,IE,1617749868,91,53.95,-8.95,42.01,1.99
322,Tombouctou,4,ML,1617749868,8,20.0,-3.0,80.55,8.12
323,Celestún,100,MX,1617749869,63,20.8667,-90.4,79.75,18.19
324,Kontagora,3,NG,1617749869,23,10.3999,5.4695,85.87,1.36
325,Kailua,75,US,1617749869,53,21.4022,-157.7394,78.8,14.97
326,Yulara,1,AU,1617749870,55,-25.2406,130.9889,62.6,5.75
327,Huntsville,1,US,1617749640,34,34.7304,-86.5861,78.8,8.05
328,Santa Marta,96,CO,1617749703,73,11.2408,-74.199,84.0,8.99
329,Champerico,75,GT,1617749596,62,14.3,-91.9167,89.6,9.22
330,Yablonovo,0,RU,1617749871,56,50.8523,37.3574,42.8,8.95
331,Barcelona,75,ES,1617749652,72,41.3888,2.159,57.2,10.36
332,Conil,20,FR,1617749871,91,44.9673,3.7177,18.46,6.44
333,Ribeira Grande,13,PT,1617749871,86,38.5167,-28.7,60.48,8.86
334,Olinda,40,BR,1617749872,73,-8.0089,-34.8553,78.8,11.5
335,Coxim,89,BR,1617749872,85,-18.5067,-54.76,73.31,2.55
336,Pochutla,90,MX,1617749872,70,15.7432,-96.4661,84.99,9.22
337,Mount Isa,13,AU,1617749873,47,-20.7333,139.5,82.4,5.75
338,Bariloche,75,AR,1617749839,54,-41.1456,-71.3082,57.2,17.27
339,Doka,72,SD,1617749873,14,13.5167,35.7667,89.08,6.73
340,Deputatsky,84,RU,1617749825,96,69.3,139.9,-7.91,1.45
341,Ahipara,100,NZ,1617749873,62,-35.1667,173.1667,67.8,8.66
342,São Domingos,91,BR,1617749874,61,-13.3983,-46.3183,77.13,4.25
343,Zhangaözen,24,KZ,1617749874,51,43.3,52.8,45.43,11.27
344,Tahe,0,CN,1617749874,54,52.3333,124.7333,16.38,12.55
345,Ha Tinh,29,VN,1617749666,91,18.3333,105.9,71.83,1.74
346,Galle,56,LK,1617749875,85,6.0367,80.217,76.42,8.61
347,Kirovskiy,10,RU,1617749875,40,45.0917,133.5136,34.72,12.44
348,Dongning,45,CN,1617749876,23,44.0622,131.1207,35.71,15.59
349,Mount Gambier,9,AU,1617749876,100,-37.8333,140.7667,51.8,5.84
350,Gezing,75,AT,1617749877,69,47.9178,13.1299,32.0,5.75
351,Alta Floresta,100,BR,1617749877,90,-9.8756,-56.0861,74.28,1.23
352,Sisimiut,38,GL,1617749877,80,66.9395,-53.6735,18.95,5.28
353,Iwanai,100,JP,1617749878,60,42.9744,140.5089,40.82,7.05
354,Te Anau,35,NZ,1617749878,67,-45.4167,167.7167,56.16,0.45
355,Bambous Virieux,75,MU,1617749878,94,-20.3428,57.7575,77.0,3.44
356,Hualmay,96,PE,1617749879,77,-11.0964,-77.6139,72.36,10.18
357,Sittwe,0,MM,1617749879,80,20.15,92.9,76.62,3.69
